id,observed_on,time_observed_at,user_id,user_login,quality_grade,latitude,longitude,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
9512028,2018-01-17,2018-01-17 21:33:00 UTC,275891,psyllidhipster,research,32.248523,-110.9086347963,,false,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
9512029,2018-01-17,2018-01-17 21:07:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.9086347963,,false,Cucullia,Hooded Owlets,Insecta,61971,Lepidoptera,Noctuidae,Cucullia,
9512030,2018-01-17,2018-01-17 21:06:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.9086347963,,false,Rindgea ballandrata,,Insecta,367829,Lepidoptera,Geometridae,Rindgea,Rindgea ballandrata
9512032,2018-01-17,2018-01-17 21:01:00 UTC,275891,psyllidhipster,research,32.248523,-110.9086347963,,false,Pachypsylla celtidisvesicula,Hackberry Blister Gall Psyllid,Insecta,1115702,Hemiptera,Aphalaridae,Pachypsylla,Pachypsylla celtidisvesicula
9512034,2018-01-17,2018-01-17 19:34:00 UTC,275891,psyllidhipster,research,32.248523,-110.9086347963,,false,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
9816726,2018-02-10,2018-02-11 00:20:00 UTC,275891,psyllidhipster,research,32.2484867046,-110.9086133384,,false,Xylocopa sonorina,Valley Carpenter Bee,Insecta,244216,Hymenoptera,Apidae,Xylocopa,Xylocopa sonorina
9816727,2018-02-10,2018-02-11 00:19:00 UTC,275891,psyllidhipster,research,32.2484867046,-110.9086133384,,false,Acromyrmex versicolor,Desert Leaf-cutter Ant,Insecta,50161,Hymenoptera,Formicidae,Acromyrmex,Acromyrmex versicolor
9816728,2018-02-10,2018-02-11 00:09:00 UTC,275891,psyllidhipster,research,32.2484867046,-110.9086133384,,false,Graphocephala cythura,,Insecta,56926,Hemiptera,Cicadellidae,Graphocephala,Graphocephala cythura
9816729,2018-02-10,2018-02-11 00:01:00 UTC,275891,psyllidhipster,research,32.2484867046,-110.9086133384,,false,Euarestoides acutangulus,,Insecta,335760,Diptera,Tephritidae,Euarestoides,Euarestoides acutangulus
9816730,2018-02-10,2018-02-10 23:50:00 UTC,275891,psyllidhipster,needs_id,32.2484867046,-110.9086133384,,false,Aphalaroida pithecolobia,,Insecta,481461,Hemiptera,Psyllidae,Aphalaroida,Aphalaroida pithecolobia
9816731,2018-02-10,2018-02-10 23:47:00 UTC,275891,psyllidhipster,research,32.2484867046,-110.9086133384,,false,Pieris rapae,Cabbage White,Insecta,55626,Lepidoptera,Pieridae,Pieris,Pieris rapae
9816732,2018-02-10,2018-02-10 23:42:00 UTC,275891,psyllidhipster,needs_id,32.2484867046,-110.9086133384,,false,Aphalaroida pithecolobia,,Insecta,481461,Hemiptera,Psyllidae,Aphalaroida,Aphalaroida pithecolobia
9816733,2018-02-10,2018-02-10 23:39:00 UTC,275891,psyllidhipster,needs_id,32.2484867046,-110.9086133384,,false,Largus,,Insecta,52985,Hemiptera,Largidae,Largus,
9816734,2018-02-10,2018-02-10 22:52:00 UTC,275891,psyllidhipster,research,32.2484867046,-110.9086133384,,false,Homalodisca liturata,Smoketree Sharpshooter,Insecta,143188,Hemiptera,Cicadellidae,Homalodisca,Homalodisca liturata
9816738,2018-02-10,2018-02-10 22:31:00 UTC,275891,psyllidhipster,needs_id,32.2484867046,-110.9086133384,,false,Rindgea ballandrata,,Insecta,367829,Lepidoptera,Geometridae,Rindgea,Rindgea ballandrata
9927636,2018-02-19,2018-02-19 23:33:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Pachypsylla celtidisvesicula,Hackberry Blister Gall Psyllid,Insecta,1115702,Hemiptera,Aphalaridae,Pachypsylla,Pachypsylla celtidisvesicula
9927637,2018-02-19,2018-02-19 22:56:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
9927639,2018-02-19,2018-02-19 22:42:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Trichoplusia ni,Cabbage Looper Moth,Insecta,202789,Lepidoptera,Noctuidae,Trichoplusia,Trichoplusia ni
9927640,2018-02-19,2018-02-19 22:43:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Melipotis acontioides,Royal Poinciana Graphic,Insecta,224853,Lepidoptera,Erebidae,Melipotis,Melipotis acontioides
9927641,2018-02-19,2018-02-19 22:42:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Melipotis acontioides,Royal Poinciana Graphic,Insecta,224853,Lepidoptera,Erebidae,Melipotis,Melipotis acontioides
9927642,2018-02-19,2018-02-19 22:42:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Psamatodes abydata,Dot-lined Angle,Insecta,228899,Lepidoptera,Geometridae,Psamatodes,Psamatodes abydata
9927643,2018-02-19,2018-02-19 22:41:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Rindgea ballandrata,,Insecta,367829,Lepidoptera,Geometridae,Rindgea,Rindgea ballandrata
9927644,2018-02-19,2018-02-19 22:41:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Cucullia,Hooded Owlets,Insecta,61971,Lepidoptera,Noctuidae,Cucullia,
9927645,2018-02-19,2018-02-19 22:41:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Asciodes gordialis,Bougainvillea Caterpillar Moth,Insecta,330480,Lepidoptera,Crambidae,Asciodes,Asciodes gordialis
9927646,2018-02-19,2018-02-19 22:41:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Melipotis acontioides,Royal Poinciana Graphic,Insecta,224853,Lepidoptera,Erebidae,Melipotis,Melipotis acontioides
9927647,2018-02-19,2018-02-19 22:41:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Autographa californica,Alfalfa Looper,Insecta,121823,Lepidoptera,Noctuidae,Autographa,Autographa californica
9927648,2018-02-19,2018-02-19 22:41:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Cucullia,Hooded Owlets,Insecta,61971,Lepidoptera,Noctuidae,Cucullia,
